Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction,Degrees
Cabo Higuer,15,21h,6,11,"0,8",12,12,O (277.69145142053253°),O (279°),SIDE-SHORE
Cabo Higuer,16,03h,3,6,"0,8",11,11,N (357.5985965937683°),O (278°),ON-SHORE
Cabo Higuer,16,05h,5,8,"1,0",7,10,NNE (15.064332588236661°),NNO (339°),ON-SHORE
Cabo Higuer,16,07h,6,8,"1,1",7,10,NNE (25.565074380626477°),NNO (348°),ON-SHORE
Cabo Higuer,16,09h,5,8,"1,2",7,9,NE (44.12606183856807°),N (350°),ON-SHORE
Cabo Higuer,16,11h,5,7,"1,2",7,8,NE (35.152863251436656°),N (351°),ON-SHORE
Cabo Higuer,16,13h,4,6,"1,2",7,9,N (356.2793332908409°),N (353°),ON-SHORE
Cabo Higuer,16,15h,4,6,"1,2",7,9,NNO (338.7825727003277°),N (355°),ON-SHORE
Cabo Higuer,16,17h,3,5,"1,1",7,9,NNO (336.5444519165568°),N (356°),ON-SHORE
Cabo Higuer,16,19h,3,7,"1,0",7,8,NNE (33.40844432961628°),N (357°),ON-SHORE
Cabo Higuer,16,21h,4,7,"1,0",7,8,E (81.91785030474726°),N (360°),SIDE-SHORE
Cabo Higuer,17,03h,3,5,"0,8",6,7,ESE (103.13593961284057°),N (2°),SIDE-SHORE
Cabo Higuer,17,05h,3,5,"0,8",6,6,ESE (113.53347675927243°),N (1°),SIDE-SHORE
Cabo Higuer,17,07h,4,7,"0,7",6,6,ESE (109.01307970164375°),N (3°),SIDE-SHORE
Cabo Higuer,17,09h,6,8,"0,6",5,8,E (97.07807622180944°),N (3.6666666666666665°),SIDE-SHORE
Cabo Higuer,17,11h,6,7,"0,6",6,9,E (88.51106143506901°),ESE (122.66666666666667°),SIDE-SHORE
Cabo Higuer,17,13h,4,6,"0,5",6,11,ESE (110.28660515961201°),N (360°),SIDE-SHORE
Cabo Higuer,17,15h,5,6,"0,5",6,12,ENE (73.34747732810347°),N (359.3333333333333°),SIDE-SHORE
Cabo Higuer,17,17h,5,6,"0,4",9,12,E (84.08867543083159°),NNO (336.66666666666663°),SIDE-SHORE
Cabo Higuer,17,19h,5,6,"0,4",16,12,S (190.93841765725267°),ONO (292°),OFF-SHORE
Cabo Higuer,17,22h,6,7,"0,3",16,11,S (169.8795991093398°),ONO (292°),OFF-SHORE
Cabo Higuer,18,04h,10,17,"0,5",15,12,S (171.59329421538908°),ONO (291°),OFF-SHORE
Cabo Higuer,18,06h,10,17,"0,5",14,12,S (172.6515630520544°),ONO (291°),OFF-SHORE
Cabo Higuer,18,08h,11,20,"0,5",14,12,S (173.19681825034348°),ONO (290.66666666666663°),OFF-SHORE
Cabo Higuer,18,10h,13,24,"0,5",14,13,S (173.21213001074312°),ONO (290°),OFF-SHORE
Cabo Higuer,18,12h,15,27,"0,6",14,14,S (178.4427376173423°),ONO (290°),OFF-SHORE
Cabo Higuer,18,14h,15,28,"0,5",14,14,S (179.66635894143369°),ONO (290°),OFF-SHORE
Cabo Higuer,18,16h,14,29,"0,5",13,14,S (177.74150452679694°),ONO (290°),OFF-SHORE
Cabo Higuer,18,18h,14,28,"0,5",13,14,S (175.6913149472295°),ONO (288.66666666666663°),OFF-SHORE
Cabo Higuer,18,20h,14,28,"0,5",13,14,S (176.26941999884772°),ONO (288°),OFF-SHORE
Cabo Higuer,18,22h,14,29,"0,6",13,14,S (179.53611879380097°),ONO (288°),OFF-SHORE
Cabo Higuer,19,04h,14,28,"0,8",12,15,S (175.88243361854978°),ONO (285°),OFF-SHORE
Cabo Higuer,19,06h,11,16,"0,8",12,13,S (175.03398664882906°),ONO (284.3333333333333°),OFF-SHORE
Cabo Higuer,19,08h,10,33,"0,8",12,14,S (191.09994006341176°),ONO (284.3333333333333°),OFF-SHORE
Cabo Higuer,19,10h,21,35,"0,7",12,15,S (169.36561770450967°),ONO (285°),OFF-SHORE
Cabo Higuer,19,12h,18,33,"0,7",12,16,S (175.47266044520683°),ONO (284.3333333333333°),OFF-SHORE
Cabo Higuer,19,14h,12,27,"0,8",12,17,SSO (193.2032520713359°),ONO (283.66666666666663°),OFF-SHORE
Cabo Higuer,19,16h,11,28,"1,0",12,16,S (188.09716971006702°),ONO (283°),OFF-SHORE
Cabo Higuer,19,18h,12,28,"1,0",13,16,S (179.83094885004718°),ONO (283°),OFF-SHORE
Cabo Higuer,19,20h,13,29,"1,0",14,16,S (179.57373992609774°),ONO (283.3333333333333°),OFF-SHORE
Cabo Higuer,19,22h,11,21,"1,1",14,15,S (182.3513427363671°),ONO (284°),OFF-SHORE
Cabo Higuer,20,04h,11,20,"1,2",15,15,S (182.2930573096696°),ONO (286°),OFF-SHORE
Cabo Higuer,20,07h,11,21,"1,2",14,15,S (180.94673150412942°),ONO (285°),SIDE-SHORE
Cabo Higuer,20,10h,12,23,"1,3",14,15,S (178.32463887619764°),ONO (284°),OFF-SHORE
